s, A
0.000000, 0.490723
1.000000, 0.490716
2.000000, 0.490601
3.000000, 0.490556
4.000000, 0.490459
5.000000, 0.490460
6.000000, 0.490318
7.000000, 0.490200
8.000000, 0.490245
9.000000, 0.490231
10.000000, 0.490240
11.000000, 0.490196
12.000000, 0.490093
13.000000, 0.490294
14.000000, 0.490308
15.000000, 0.490297
16.000000, 0.490183
17.000000, 0.490184
18.000000, 0.490078
19.000000, 0.490030
20.000000, 0.489920
21.000000, 0.489795
22.000000, 0.489878
23.000000, 0.489946
24.000000, 0.489930
25.000000, 0.489842
26.000000, 0.489967
27.000000, 0.490034
28.000000, 0.490011
29.000000, 0.489985
30.000000, 0.489841
31.000000, 0.489856
32.000000, 0.489793
33.000000, 0.489788
34.000000, 0.489702
35.000000, 0.489626
36.000000, 0.489559
37.000000, 0.489454
38.000000, 0.489620
39.000000, 0.489517
40.000000, 0.489553
41.000000, 0.489711
42.000000, 0.489726
43.000000, 0.489700
44.000000, 0.489616
45.000000, 0.489685
46.000000, 0.489709
47.000000, 0.489814
48.000000, 0.489914
49.000000, 0.489977
50.000000, 0.489860
51.000000, 0.489758
52.000000, 0.489610
53.000000, 0.489641
54.000000, 0.489532
55.000000, 0.489559
56.000000, 0.489554
57.000000, 0.489551
58.000000, 0.489548
59.000000, 0.489598
60.000000, 0.489570
