s, A
0.000000, 0.959379
1.000000, 0.959347
2.000000, 0.958815
3.000000, 0.958583
4.000000, 0.958536
5.000000, 0.958654
6.000000, 0.958845
7.000000, 0.959085
8.000000, 0.959197
9.000000, 0.959326
10.000000, 0.959518
11.000000, 0.959731
12.000000, 0.960014
13.000000, 0.960368
14.000000, 0.960595
15.000000, 0.960655
16.000000, 0.960581
17.000000, 0.960457
18.000000, 0.960184
19.000000, 0.959860
20.000000, 0.959495
21.000000, 0.959256
22.000000, 0.959035
23.000000, 0.958728
24.000000, 0.958346
25.000000, 0.958012
26.000000, 0.957721
27.000000, 0.957473
28.000000, 0.957323
29.000000, 0.957110
30.000000, 0.956897
31.000000, 0.956713
32.000000, 0.956559
33.000000, 0.956462
34.000000, 0.956326
35.000000, 0.956220
36.000000, 0.956069
37.000000, 0.955988
38.000000, 0.955950
39.000000, 0.955867
40.000000, 0.955838
41.000000, 0.955802
42.000000, 0.955798
43.000000, 0.955823
44.000000, 0.955776
45.000000, 0.955758
46.000000, 0.955786
47.000000, 0.955791
48.000000, 0.955821
49.000000, 0.955853
50.000000, 0.955838
51.000000, 0.955846
52.000000, 0.955918
53.000000, 0.955996
54.000000, 0.955983
55.000000, 0.955907
56.000000, 0.955714
57.000000, 0.955420
58.000000, 0.955104
59.000000, 0.954790
60.000000, 0.954475
61.000000, 0.954149
62.000000, 0.953830
63.000000, 0.953474
64.000000, 0.953120
65.000000, 0.952814
66.000000, 0.952550
67.000000, 0.952319
68.000000, 0.952138
69.000000, 0.951928
70.000000, 0.951744
71.000000, 0.951566
72.000000, 0.951352
73.000000, 0.951105
74.000000, 0.950812
75.000000, 0.950513
76.000000, 0.950199
77.000000, 0.949841
78.000000, 0.949465
79.000000, 0.949120
80.000000, 0.948742
81.000000, 0.948355
82.000000, 0.948044
83.000000, 0.947766
84.000000, 0.947470
85.000000, 0.947125
86.000000, 0.946880
87.000000, 0.946668
88.000000, 0.946408
89.000000, 0.946132
90.000000, 0.945874
91.000000, 0.945656
92.000000, 0.945404
93.000000, 0.945136
94.000000, 0.944959
95.000000, 0.944861
96.000000, 0.944745
97.000000, 0.944568
98.000000, 0.944349
99.000000, 0.944165
100.000000, 0.943981
101.000000, 0.943707
102.000000, 0.943399
103.000000, 0.943089
104.000000, 0.942725
105.000000, 0.942362
106.000000, 0.941986
107.000000, 0.941599
108.000000, 0.941227
109.000000, 0.940805
110.000000, 0.940398
111.000000, 0.939985
112.000000, 0.939548
113.000000, 0.939121
114.000000, 0.938758
115.000000, 0.938356
116.000000, 0.938024
117.000000, 0.937652
118.000000, 0.937347
119.000000, 0.937107
120.000000, 0.936866
121.000000, 0.936634
122.000000, 0.936463
123.000000, 0.936318
124.000000, 0.936188
125.000000, 0.936077
126.000000, 0.935941
127.000000, 0.935849
128.000000, 0.935767
129.000000, 0.935628
130.000000, 0.935452
131.000000, 0.935346
132.000000, 0.935214
133.000000, 0.935087
134.000000, 0.935015
135.000000, 0.934913
136.000000, 0.934822
137.000000, 0.934723
138.000000, 0.934562
139.000000, 0.934374
140.000000, 0.934192
141.000000, 0.933921
142.000000, 0.933646
143.000000, 0.933377
144.000000, 0.933177
145.000000, 0.932949
146.000000, 0.932762
147.000000, 0.932543
148.000000, 0.932355
149.000000, 0.932169
150.000000, 0.932023
151.000000, 0.931868
152.000000, 0.931745
153.000000, 0.931625
154.000000, 0.931552
155.000000, 0.931427
156.000000, 0.931311
157.000000, 0.931237
158.000000, 0.931204
159.000000, 0.931134
160.000000, 0.931104
161.000000, 0.931048
162.000000, 0.931050
163.000000, 0.931067
164.000000, 0.931147
165.000000, 0.931173
166.000000, 0.931144
167.000000, 0.931174
168.000000, 0.931184
169.000000, 0.931244
170.000000, 0.931310
171.000000, 0.931362
172.000000, 0.931485
173.000000, 0.931624
174.000000, 0.931802
175.000000, 0.931980
176.000000, 0.932127
177.000000, 0.932201
178.000000, 0.932277
179.000000, 0.932357
180.000000, 0.932380
181.000000, 0.932327
182.000000, 0.932182
183.000000, 0.932097
184.000000, 0.932040
185.000000, 0.931918
186.000000, 0.931806
187.000000, 0.931657
188.000000, 0.931473
189.000000, 0.931229
190.000000, 0.931020
191.000000, 0.930892
192.000000, 0.930845
193.000000, 0.930870
194.000000, 0.930928
195.000000, 0.930938
196.000000, 0.930937
197.000000, 0.930894
198.000000, 0.930844
199.000000, 0.930794
200.000000, 0.930762
201.000000, 0.930692
202.000000, 0.930554
203.000000, 0.930418
204.000000, 0.930269
205.000000, 0.930155
206.000000, 0.930099
207.000000, 0.930054
208.000000, 0.929967
209.000000, 0.929982
210.000000, 0.930016
211.000000, 0.930147
212.000000, 0.930302
213.000000, 0.930450
214.000000, 0.930553
215.000000, 0.930641
216.000000, 0.930816
217.000000, 0.930987
218.000000, 0.931121
219.000000, 0.931304
220.000000, 0.931478
221.000000, 0.931663
222.000000, 0.931860
223.000000, 0.932092
224.000000, 0.932385
225.000000, 0.932617
226.000000, 0.932805
227.000000, 0.933033
228.000000, 0.933314
229.000000, 0.933504
230.000000, 0.933711
231.000000, 0.933942
232.000000, 0.934195
233.000000, 0.934425
234.000000, 0.934633
235.000000, 0.934831
236.000000, 0.935085
237.000000, 0.935337
238.000000, 0.935566
239.000000, 0.935821
240.000000, 0.936100
241.000000, 0.936320
242.000000, 0.936520
243.000000, 0.936690
244.000000, 0.936889
245.000000, 0.937055
246.000000, 0.937191
247.000000, 0.937388
248.000000, 0.937552
249.000000, 0.937767
250.000000, 0.937915
251.000000, 0.938006
