s, A
0.000000, 0.742927
1.000000, 0.733835
2.000000, 0.691402
3.000000, 0.828356
4.000000, 0.724951
5.000000, 0.629605
6.000000, 0.650232
7.000000, 0.707656
8.000000, 0.599748
9.000000, 0.683608
10.000000, 0.686580
11.000000, 0.763003
12.000000, 0.655483
13.000000, 0.632706
14.000000, 0.639387
15.000000, 0.668263
16.000000, 0.700050
17.000000, 0.679133
18.000000, 0.672478
19.000000, 0.642738
20.000000, 0.665104
21.000000, 0.675678
22.000000, 0.687543
23.000000, 0.648508
24.000000, 0.686933
25.000000, 0.744522
26.000000, 0.677004
27.000000, 0.695535
28.000000, 0.627792
29.000000, 0.719792
30.000000, 0.647988
31.000000, 0.548139
32.000000, 0.709421
33.000000, 0.804137
34.000000, 0.653063
35.000000, 0.631326
36.000000, 0.712164
37.000000, 0.697209
38.000000, 0.699987
39.000000, 0.578263
40.000000, 0.699913
41.000000, 0.570044
42.000000, 0.573195
43.000000, 0.591234
44.000000, 0.606188
45.000000, 0.722731
46.000000, 0.687289
47.000000, 0.545129
48.000000, 0.576436
49.000000, 0.579676
50.000000, 0.545758
51.000000, 0.535970
52.000000, 0.624304
53.000000, 0.596995
54.000000, 0.677627
55.000000, 0.720240
56.000000, 0.798166
57.000000, 0.790029
58.000000, 0.694920
59.000000, 0.595042
60.000000, 0.551166
