s, A
0.000000, 0.942711
1.000000, 0.952711
2.000000, 1.123467
3.000000, 1.095891
4.000000, 1.093404
5.000000, 1.076665
6.000000, 1.123385
7.000000, 1.081807
8.000000, 1.127933
9.000000, 1.094872
10.000000, 1.075651
11.000000, 1.012167
12.000000, 1.039060
13.000000, 1.015304
14.000000, 0.993109
15.000000, 0.837092
16.000000, 0.767504
17.000000, 0.873008
18.000000, 0.825712
19.000000, 0.758798
20.000000, 0.769099
21.000000, 0.734515
22.000000, 0.746157
23.000000, 0.683988
24.000000, 0.613926
25.000000, 0.542754
26.000000, 0.520517
27.000000, 0.494158
28.000000, 0.445273
29.000000, 0.412247
30.000000, 0.361548
31.000000, 0.317837
32.000000, 0.287179
33.000000, 0.264374
34.000000, 0.241144
35.000000, 0.226297
36.000000, 0.210830
37.000000, 0.195227
38.000000, 0.186782
39.000000, 0.171518
40.000000, 0.156518
41.000000, 0.148792
42.000000, 0.140719
43.000000, 0.132758
44.000000, 0.132163
45.000000, 0.131122
46.000000, 0.123417
47.000000, 0.115306
48.000000, 0.107682
49.000000, 0.100022
50.000000, 0.091969
51.000000, 0.091593
52.000000, 0.090554
53.000000, 0.083070
54.000000, 0.082168
55.000000, 0.074473
56.000000, 0.073799
57.000000, 0.072610
58.000000, 0.064403
59.000000, 0.064184
60.000000, 0.063531
61.000000, 0.062536
62.000000, 0.054686
63.000000, 0.054196
64.000000, 0.053336
65.000000, 0.052246
66.000000, 0.051029
67.000000, 0.049763
68.000000, 0.048506
69.000000, 0.047364
70.000000, 0.046261
71.000000, 0.045221
72.000000, 0.044294
73.000000, 0.043391
74.000000, 0.042585
75.000000, 0.041801
76.000000, 0.041031
77.000000, 0.040371
78.000000, 0.039783
79.000000, 0.039279
80.000000, 0.038846
81.000000, 0.038526
82.000000, 0.038237
83.000000, 0.038004
84.000000, 0.037811
85.000000, 0.037626
86.000000, 0.037401
87.000000, 0.037177
88.000000, 0.037013
89.000000, 0.036864
90.000000, 0.036710
91.000000, 0.036482
92.000000, 0.036207
93.000000, 0.035929
94.000000, 0.035622
95.000000, 0.035296
96.000000, 0.035017
97.000000, 0.034750
98.000000, 0.034517
99.000000, 0.034291
100.000000, 0.034076
101.000000, 0.033859
102.000000, 0.033646
103.000000, 0.033503
104.000000, 0.033379
105.000000, 0.033271
106.000000, 0.033177
107.000000, 0.033093
108.000000, 0.033013
109.000000, 0.032920
110.000000, 0.032853
111.000000, 0.032810
112.000000, 0.032758
113.000000, 0.032649
114.000000, 0.032528
115.000000, 0.032413
116.000000, 0.032277
117.000000, 0.032131
118.000000, 0.031963
119.000000, 0.031764
120.000000, 0.031538
121.000000, 0.031256
122.000000, 0.030964
123.000000, 0.030665
124.000000, 0.030362
125.000000, 0.030076
126.000000, 0.029801
127.000000, 0.029519
128.000000, 0.029203
129.000000, 0.028850
130.000000, 0.028514
131.000000, 0.028195
132.000000, 0.027872
133.000000, 0.027542
134.000000, 0.027221
135.000000, 0.026882
136.000000, 0.026545
137.000000, 0.026224
138.000000, 0.025922
139.000000, 0.025622
