s, A
0.000000, 0.251700
1.000000, 0.259332
2.000000, 0.282975
3.000000, 0.286727
4.000000, 0.301719
5.000000, 0.287461
6.000000, 0.270441
7.000000, 0.301789
8.000000, 0.301802
9.000000, 0.275745
10.000000, 0.281420
11.000000, 0.300528
12.000000, 0.327818
13.000000, 0.328499
14.000000, 0.330959
15.000000, 0.332204
16.000000, 0.333604
17.000000, 0.296908
18.000000, 0.265427
19.000000, 0.311768
20.000000, 0.269331
21.000000, 0.280778
22.000000, 0.351952
23.000000, 0.313181
24.000000, 0.271825
25.000000, 0.389586
26.000000, 0.303914
27.000000, 0.300071
28.000000, 0.269723
29.000000, 0.320246
30.000000, 0.283699
31.000000, 0.302596
32.000000, 0.236245
33.000000, 0.247310
34.000000, 0.253112
35.000000, 0.305254
36.000000, 0.315047
37.000000, 0.250528
38.000000, 0.282137
39.000000, 0.320675
40.000000, 0.311040
41.000000, 0.269563
42.000000, 0.281142
43.000000, 0.315646
44.000000, 0.299894
45.000000, 0.287350
46.000000, 0.255509
47.000000, 0.297210
48.000000, 0.254467
49.000000, 0.242067
50.000000, 0.337069
51.000000, 0.284522
52.000000, 0.256707
53.000000, 0.233671
54.000000, 0.352757
55.000000, 0.278790
56.000000, 0.217022
57.000000, 0.250038
58.000000, 0.319820
59.000000, 0.310981
60.000000, 0.227621
