s, A
0.000000, 1.480104
1.000000, 1.480130
2.000000, 1.480722
3.000000, 1.481753
4.000000, 1.482211
5.000000, 1.482380
6.000000, 1.482733
7.000000, 1.483253
8.000000, 1.483307
9.000000, 1.483595
10.000000, 1.483846
11.000000, 1.484081
12.000000, 1.484027
13.000000, 1.484365
14.000000, 1.484496
15.000000, 1.484408
16.000000, 1.484617
17.000000, 1.484317
18.000000, 1.484288
19.000000, 1.484503
20.000000, 1.484676
21.000000, 1.484449
22.000000, 1.484468
23.000000, 1.484538
24.000000, 1.484533
25.000000, 1.484731
26.000000, 1.484779
27.000000, 1.484773
28.000000, 1.484629
29.000000, 1.484519
30.000000, 1.484416
31.000000, 1.484463
32.000000, 1.484611
33.000000, 1.484396
34.000000, 1.484110
35.000000, 1.483995
36.000000, 1.484214
37.000000, 1.484560
38.000000, 1.484750
39.000000, 1.484987
40.000000, 1.484813
41.000000, 1.484760
42.000000, 1.484555
43.000000, 1.484783
44.000000, 1.484893
45.000000, 1.484954
46.000000, 1.484546
47.000000, 1.484600
48.000000, 1.484618
49.000000, 1.484520
50.000000, 1.484058
51.000000, 1.483715
52.000000, 1.483853
53.000000, 1.483973
54.000000, 1.484147
55.000000, 1.484209
56.000000, 1.484204
57.000000, 1.484228
58.000000, 1.484305
59.000000, 1.484145
60.000000, 1.483968
