s, A
0.000000, 0.951692
1.000000, 0.951702
2.000000, 0.959318
3.000000, 0.959066
4.000000, 0.958857
5.000000, 0.959349
6.000000, 0.959230
7.000000, 0.959056
8.000000, 0.959567
9.000000, 0.959748
10.000000, 0.959635
11.000000, 0.959543
12.000000, 0.959382
13.000000, 0.959323
14.000000, 0.958934
15.000000, 0.959351
16.000000, 0.959569
17.000000, 0.959339
18.000000, 0.959822
19.000000, 0.960836
20.000000, 0.961286
21.000000, 0.961094
22.000000, 0.960545
23.000000, 0.959898
24.000000, 0.959386
25.000000, 0.959072
26.000000, 0.958884
27.000000, 0.958853
28.000000, 0.958824
29.000000, 0.958833
30.000000, 0.958906
31.000000, 0.958958
32.000000, 0.959099
33.000000, 0.959314
34.000000, 0.959600
35.000000, 0.959711
36.000000, 0.959509
37.000000, 0.959047
38.000000, 0.958540
39.000000, 0.958047
40.000000, 0.957400
41.000000, 0.956733
42.000000, 0.956011
43.000000, 0.955264
44.000000, 0.954617
45.000000, 0.953776
46.000000, 0.952895
47.000000, 0.952166
48.000000, 0.951720
49.000000, 0.951434
50.000000, 0.951260
51.000000, 0.951193
52.000000, 0.951437
53.000000, 0.951654
54.000000, 0.951784
55.000000, 0.951852
56.000000, 0.951919
57.000000, 0.951903
58.000000, 0.951828
59.000000, 0.951679
60.000000, 0.951556
61.000000, 0.951494
62.000000, 0.951650
63.000000, 0.951846
64.000000, 0.952102
65.000000, 0.952455
66.000000, 0.952773
67.000000, 0.953014
68.000000, 0.953090
69.000000, 0.952925
70.000000, 0.952647
71.000000, 0.952457
72.000000, 0.952341
73.000000, 0.952570
74.000000, 0.953009
75.000000, 0.953425
76.000000, 0.953766
77.000000, 0.954147
78.000000, 0.954302
79.000000, 0.954237
80.000000, 0.953909
81.000000, 0.953373
82.000000, 0.952666
83.000000, 0.951866
84.000000, 0.950892
85.000000, 0.949980
86.000000, 0.949181
87.000000, 0.948593
88.000000, 0.948068
89.000000, 0.947790
90.000000, 0.947641
91.000000, 0.947622
92.000000, 0.947829
93.000000, 0.948142
94.000000, 0.948446
95.000000, 0.948674
96.000000, 0.948855
97.000000, 0.948912
98.000000, 0.948908
99.000000, 0.948900
100.000000, 0.948812
101.000000, 0.948695
102.000000, 0.948388
103.000000, 0.948019
104.000000, 0.947599
105.000000, 0.947235
106.000000, 0.946978
107.000000, 0.946972
108.000000, 0.946981
109.000000, 0.947104
110.000000, 0.947146
111.000000, 0.947205
112.000000, 0.947142
113.000000, 0.947044
114.000000, 0.946898
115.000000, 0.946849
116.000000, 0.946861
117.000000, 0.946979
