s, A
0.000000, 0.867278
1.000000, 0.867228
2.000000, 0.866598
3.000000, 0.866591
4.000000, 0.866317
5.000000, 0.866231
6.000000, 0.866173
7.000000, 0.866076
8.000000, 0.865975
9.000000, 0.865891
10.000000, 0.865733
11.000000, 0.865805
12.000000, 0.865663
13.000000, 0.865629
14.000000, 0.865579
15.000000, 0.865614
16.000000, 0.865507
17.000000, 0.865395
18.000000, 0.865240
19.000000, 0.865170
20.000000, 0.865006
21.000000, 0.865167
22.000000, 0.865090
23.000000, 0.865101
24.000000, 0.865033
25.000000, 0.865082
26.000000, 0.864982
27.000000, 0.864981
28.000000, 0.865127
29.000000, 0.865019
30.000000, 0.864877
31.000000, 0.864931
32.000000, 0.865006
33.000000, 0.865026
34.000000, 0.864987
35.000000, 0.865041
36.000000, 0.865184
37.000000, 0.865145
38.000000, 0.865249
39.000000, 0.865400
40.000000, 0.865225
41.000000, 0.865162
42.000000, 0.865075
43.000000, 0.864778
44.000000, 0.864959
45.000000, 0.865035
46.000000, 0.864787
47.000000, 0.864656
48.000000, 0.864766
49.000000, 0.864887
50.000000, 0.864916
51.000000, 0.864967
52.000000, 0.865086
53.000000, 0.864902
54.000000, 0.864932
55.000000, 0.864934
56.000000, 0.864840
57.000000, 0.865122
58.000000, 0.865158
59.000000, 0.865030
60.000000, 0.865144
