s, A
0.000000, 0.490468
1.000000, 0.490442
2.000000, 0.489963
3.000000, 0.489472
4.000000, 0.489172
5.000000, 0.488801
6.000000, 0.488572
7.000000, 0.488334
8.000000, 0.488202
9.000000, 0.488186
10.000000, 0.488165
11.000000, 0.488029
12.000000, 0.488032
13.000000, 0.488026
14.000000, 0.488115
15.000000, 0.488086
16.000000, 0.488114
17.000000, 0.488168
18.000000, 0.488060
19.000000, 0.488106
20.000000, 0.488149
21.000000, 0.488182
22.000000, 0.488184
23.000000, 0.488207
24.000000, 0.487936
25.000000, 0.487535
26.000000, 0.487450
27.000000, 0.487303
28.000000, 0.487231
29.000000, 0.487171
30.000000, 0.487054
31.000000, 0.487098
32.000000, 0.487170
33.000000, 0.487182
34.000000, 0.487216
35.000000, 0.487214
36.000000, 0.487127
37.000000, 0.487127
38.000000, 0.487069
39.000000, 0.487032
40.000000, 0.487111
41.000000, 0.487179
42.000000, 0.487210
43.000000, 0.487322
44.000000, 0.487280
45.000000, 0.487271
46.000000, 0.487318
47.000000, 0.487320
48.000000, 0.487284
49.000000, 0.487284
50.000000, 0.487353
51.000000, 0.487280
52.000000, 0.487174
53.000000, 0.487125
54.000000, 0.487215
55.000000, 0.487146
56.000000, 0.487157
57.000000, 0.487135
58.000000, 0.487141
59.000000, 0.487217
60.000000, 0.487342
