s, A
0.000000, 0.999714
1.000000, 0.999711
2.000000, 0.999813
3.000000, 0.999527
4.000000, 0.999390
5.000000, 0.999427
6.000000, 0.999280
7.000000, 0.999357
8.000000, 0.999273
9.000000, 0.999340
10.000000, 0.999459
11.000000, 0.999608
12.000000, 0.999566
13.000000, 0.999380
14.000000, 0.998674
15.000000, 0.998118
16.000000, 0.998282
17.000000, 0.998486
18.000000, 0.999024
19.000000, 0.999338
20.000000, 0.999691
21.000000, 1.000049
22.000000, 1.000400
23.000000, 1.000761
24.000000, 1.001166
25.000000, 1.001519
26.000000, 1.001808
27.000000, 1.002004
28.000000, 1.002143
29.000000, 1.002263
30.000000, 1.002367
31.000000, 1.002441
32.000000, 1.002546
33.000000, 1.002595
34.000000, 1.002661
35.000000, 1.002660
36.000000, 1.002660
37.000000, 1.002683
38.000000, 1.002700
39.000000, 1.002726
40.000000, 1.002740
41.000000, 1.002731
42.000000, 1.002705
43.000000, 1.002710
44.000000, 1.002685
45.000000, 1.002658
46.000000, 1.002677
47.000000, 1.002638
48.000000, 1.002603
49.000000, 1.002577
50.000000, 1.002562
51.000000, 1.002618
52.000000, 1.002712
53.000000, 1.002810
54.000000, 1.002878
55.000000, 1.002880
56.000000, 1.002846
57.000000, 1.002774
58.000000, 1.002685
59.000000, 1.002606
60.000000, 1.002524
61.000000, 1.002392
62.000000, 1.002283
63.000000, 1.002148
64.000000, 1.002009
65.000000, 1.001821
66.000000, 1.001650
67.000000, 1.001487
68.000000, 1.001380
69.000000, 1.001296
70.000000, 1.001225
71.000000, 1.001201
72.000000, 1.001208
73.000000, 1.001204
74.000000, 1.001201
75.000000, 1.001234
76.000000, 1.001284
77.000000, 1.001348
78.000000, 1.001408
79.000000, 1.001478
80.000000, 1.001517
81.000000, 1.001498
82.000000, 1.001474
83.000000, 1.001459
84.000000, 1.001431
85.000000, 1.001424
86.000000, 1.001402
87.000000, 1.001405
88.000000, 1.001443
89.000000, 1.001499
90.000000, 1.001568
91.000000, 1.001684
92.000000, 1.001826
93.000000, 1.001973
94.000000, 1.002078
95.000000, 1.002156
96.000000, 1.002185
97.000000, 1.002204
98.000000, 1.002183
99.000000, 1.002112
100.000000, 1.002028
101.000000, 1.001963
102.000000, 1.001893
103.000000, 1.001774
104.000000, 1.001709
105.000000, 1.001665
106.000000, 1.001616
107.000000, 1.001575
108.000000, 1.001540
109.000000, 1.001474
110.000000, 1.001431
111.000000, 1.001414
112.000000, 1.001369
113.000000, 1.001343
114.000000, 1.001312
115.000000, 1.001280
116.000000, 1.001235
117.000000, 1.001177
118.000000, 1.001149
119.000000, 1.001154
120.000000, 1.001187
121.000000, 1.001170
122.000000, 1.001171
123.000000, 1.001197
124.000000, 1.001223
125.000000, 1.001262
126.000000, 1.001338
127.000000, 1.001415
128.000000, 1.001429
129.000000, 1.001454
130.000000, 1.001447
131.000000, 1.001459
132.000000, 1.001426
133.000000, 1.001358
134.000000, 1.001265
135.000000, 1.001187
136.000000, 1.001131
137.000000, 1.001119
138.000000, 1.001122
139.000000, 1.001085
140.000000, 1.001053
141.000000, 1.001053
142.000000, 1.001054
143.000000, 1.001066
144.000000, 1.001080
145.000000, 1.001095
146.000000, 1.001109
147.000000, 1.001136
148.000000, 1.001182
149.000000, 1.001226
150.000000, 1.001241
151.000000, 1.001258
152.000000, 1.001258
153.000000, 1.001281
154.000000, 1.001296
155.000000, 1.001260
156.000000, 1.001205
157.000000, 1.001166
158.000000, 1.001130
159.000000, 1.001097
160.000000, 1.001048
161.000000, 1.000992
162.000000, 1.000916
163.000000, 1.000843
164.000000, 1.000770
165.000000, 1.000718
166.000000, 1.000654
167.000000, 1.000620
168.000000, 1.000617
169.000000, 1.000616
170.000000, 1.000638
171.000000, 1.000639
172.000000, 1.000660
173.000000, 1.000678
174.000000, 1.000706
175.000000, 1.000772
176.000000, 1.000808
177.000000, 1.000846
178.000000, 1.000867
179.000000, 1.000907
180.000000, 1.000917
181.000000, 1.000943
182.000000, 1.000990
183.000000, 1.001034
184.000000, 1.001038
185.000000, 1.001048
186.000000, 1.001090
187.000000, 1.001120
188.000000, 1.001161
189.000000, 1.001206
190.000000, 1.001283
191.000000, 1.001341
192.000000, 1.001355
193.000000, 1.001356
194.000000, 1.001342
195.000000, 1.001274
196.000000, 1.001195
197.000000, 1.001120
198.000000, 1.001047
199.000000, 1.000969
200.000000, 1.000915
201.000000, 1.000871
202.000000, 1.000875
203.000000, 1.000886
204.000000, 1.000890
205.000000, 1.000891
206.000000, 1.000852
207.000000, 1.000781
208.000000, 1.000681
209.000000, 1.000576
210.000000, 1.000508
211.000000, 1.000489
212.000000, 1.000443
213.000000, 1.000420
214.000000, 1.000359
215.000000, 1.000347
216.000000, 1.000323
217.000000, 1.000351
218.000000, 1.000355
219.000000, 1.000360
220.000000, 1.000356
221.000000, 1.000318
222.000000, 1.000335
223.000000, 1.000331
224.000000, 1.000355
225.000000, 1.000378
226.000000, 1.000339
227.000000, 1.000316
228.000000, 1.000262
229.000000, 1.000231
230.000000, 1.000152
231.000000, 1.000087
232.000000, 1.000008
233.000000, 0.999966
234.000000, 0.999923
235.000000, 0.999908
236.000000, 0.999882
237.000000, 0.999863
238.000000, 0.999846
239.000000, 0.999813
240.000000, 0.999800
241.000000, 0.999791
242.000000, 0.999804
243.000000, 0.999834
244.000000, 0.999880
245.000000, 0.999923
246.000000, 0.999961
247.000000, 1.000004
248.000000, 1.000038
249.000000, 1.000038
250.000000, 1.000057
251.000000, 1.000083
252.000000, 1.000067
253.000000, 1.000061
254.000000, 1.000066
255.000000, 1.000045
256.000000, 1.000037
257.000000, 1.000032
258.000000, 1.000039
259.000000, 1.000098
260.000000, 1.000148
261.000000, 1.000185
262.000000, 1.000210
263.000000, 1.000225
264.000000, 1.000222
265.000000, 1.000235
266.000000, 1.000197
267.000000, 1.000167
268.000000, 1.000115
269.000000, 1.000090
270.000000, 1.000070
271.000000, 1.000020
272.000000, 0.999951
273.000000, 0.999813
274.000000, 0.999738
275.000000, 0.999709
276.000000, 0.999644
277.000000, 0.999607
278.000000, 0.999557
279.000000, 0.999523
280.000000, 0.999514
281.000000, 0.999506
282.000000, 0.999484
283.000000, 0.999482
284.000000, 0.999510
285.000000, 0.999496
286.000000, 0.999457
287.000000, 0.999430
288.000000, 0.999419
289.000000, 0.999391
290.000000, 0.999354
291.000000, 0.999342
292.000000, 0.999338
293.000000, 0.999310
294.000000, 0.999286
295.000000, 0.999235
296.000000, 0.999241
297.000000, 0.999249
298.000000, 0.999289
299.000000, 0.999319
300.000000, 0.999342
301.000000, 0.999360
302.000000, 0.999378
303.000000, 0.999408
304.000000, 0.999442
305.000000, 0.999459
306.000000, 0.999461
307.000000, 0.999483
308.000000, 0.999455
309.000000, 0.999418
310.000000, 0.999418
311.000000, 0.999397
312.000000, 0.999346
313.000000, 0.999273
314.000000, 0.999205
315.000000, 0.999101
316.000000, 0.999030
317.000000, 0.998991
318.000000, 0.998990
319.000000, 0.998963
320.000000, 0.998886
321.000000, 0.998818
322.000000, 0.998777
323.000000, 0.998728
324.000000, 0.998702
325.000000, 0.998712
326.000000, 0.998714
327.000000, 0.998693
328.000000, 0.998693
329.000000, 0.998681
330.000000, 0.998677
331.000000, 0.998640
332.000000, 0.998593
333.000000, 0.998533
334.000000, 0.998489
335.000000, 0.998460
336.000000, 0.998452
337.000000, 0.998428
338.000000, 0.998411
339.000000, 0.998435
340.000000, 0.998435
341.000000, 0.998420
342.000000, 0.998411
343.000000, 0.998436
344.000000, 0.998451
345.000000, 0.998472
346.000000, 0.998473
347.000000, 0.998470
348.000000, 0.998437
349.000000, 0.998410
350.000000, 0.998363
351.000000, 0.998335
352.000000, 0.998296
353.000000, 0.998280
354.000000, 0.998228
355.000000, 0.998175
356.000000, 0.998129
357.000000, 0.998090
358.000000, 0.998030
359.000000, 0.997955
360.000000, 0.997866
361.000000, 0.997793
362.000000, 0.997765
363.000000, 0.997754
364.000000, 0.997750
365.000000, 0.997751
366.000000, 0.997761
367.000000, 0.997816
368.000000, 0.997832
369.000000, 0.997849
370.000000, 0.997874
371.000000, 0.997889
372.000000, 0.997900
373.000000, 0.997906
374.000000, 0.997913
375.000000, 0.997932
376.000000, 0.997956
377.000000, 0.997970
378.000000, 0.998024
379.000000, 0.998082
380.000000, 0.998132
381.000000, 0.998183
382.000000, 0.998253
383.000000, 0.998310
384.000000, 0.998389
385.000000, 0.998473
386.000000, 0.998537
387.000000, 0.998613
388.000000, 0.998689
389.000000, 0.998772
390.000000, 0.998842
391.000000, 0.998883
392.000000, 0.998943
393.000000, 0.999008
394.000000, 0.999040
395.000000, 0.999068
396.000000, 0.999093
397.000000, 0.999121
398.000000, 0.999141
399.000000, 0.999166
400.000000, 0.999167
401.000000, 0.999212
402.000000, 0.999280
403.000000, 0.999296
404.000000, 0.999313
405.000000, 0.999346
406.000000, 0.999388
407.000000, 0.999445
408.000000, 0.999518
409.000000, 0.999534
410.000000, 0.999586
411.000000, 0.999626
412.000000, 0.999654
413.000000, 0.999712
414.000000, 0.999756
415.000000, 0.999809
416.000000, 0.999852
417.000000, 0.999899
418.000000, 0.999944
419.000000, 0.999980
420.000000, 1.000026
421.000000, 1.000095
422.000000, 1.000164
423.000000, 1.000214
424.000000, 1.000269
425.000000, 1.000318
426.000000, 1.000365
427.000000, 1.000424
428.000000, 1.000494
429.000000, 1.000553
430.000000, 1.000621
431.000000, 1.000682
432.000000, 1.000737
433.000000, 1.000763
434.000000, 1.000812
435.000000, 1.000850
436.000000, 1.000860
437.000000, 1.000880
438.000000, 1.000864
439.000000, 1.000874
440.000000, 1.000901
441.000000, 1.000933
442.000000, 1.000937
443.000000, 1.000938
444.000000, 1.000926
445.000000, 1.000911
446.000000, 1.000862
447.000000, 1.000844
448.000000, 1.000831
449.000000, 1.000801
450.000000, 1.000769
451.000000, 1.000718
452.000000, 1.000671
453.000000, 1.000629
454.000000, 1.000607
455.000000, 1.000573
