s, A
0.000000, 0.736408
1.000000, 0.736409
2.000000, 0.736178
3.000000, 0.735510
4.000000, 0.743152
5.000000, 0.743811
6.000000, 0.736478
7.000000, 0.738239
8.000000, 0.746303
9.000000, 0.746220
10.000000, 0.746033
11.000000, 0.745999
12.000000, 0.745988
13.000000, 0.745838
14.000000, 0.746277
15.000000, 0.746580
16.000000, 0.744864
17.000000, 0.744981
18.000000, 0.745222
19.000000, 0.745150
20.000000, 0.745597
21.000000, 0.745728
22.000000, 0.745133
23.000000, 0.744804
24.000000, 0.744409
25.000000, 0.744401
26.000000, 0.744212
27.000000, 0.743977
28.000000, 0.744082
29.000000, 0.743676
30.000000, 0.743090
31.000000, 0.743187
32.000000, 0.742861
33.000000, 0.742712
34.000000, 0.741944
35.000000, 0.742135
36.000000, 0.742012
37.000000, 0.741874
38.000000, 0.741626
39.000000, 0.741449
40.000000, 0.741081
41.000000, 0.740927
42.000000, 0.740937
43.000000, 0.740456
44.000000, 0.739843
45.000000, 0.739773
46.000000, 0.739364
47.000000, 0.739719
48.000000, 0.739434
49.000000, 0.738549
50.000000, 0.738234
51.000000, 0.737409
52.000000, 0.737111
53.000000, 0.737163
54.000000, 0.736935
55.000000, 0.736555
56.000000, 0.736343
57.000000, 0.735936
58.000000, 0.735681
59.000000, 0.735547
60.000000, 0.735311
