s, A
0.000000, 1.026092
1.000000, 1.026079
2.000000, 1.026238
3.000000, 1.026377
4.000000, 1.026010
5.000000, 1.025732
6.000000, 1.025350
7.000000, 1.025168
8.000000, 1.025397
9.000000, 1.025462
10.000000, 1.025389
11.000000, 1.025310
12.000000, 1.024600
13.000000, 1.023988
14.000000, 1.023082
15.000000, 1.023196
16.000000, 1.023840
17.000000, 1.031652
18.000000, 1.023929
19.000000, 1.022718
20.000000, 1.022162
21.000000, 1.021811
22.000000, 1.021220
23.000000, 1.020525
24.000000, 1.019719
25.000000, 1.018937
26.000000, 1.018058
27.000000, 1.017189
28.000000, 1.016050
29.000000, 1.008142
30.000000, 1.007888
31.000000, 1.007632
32.000000, 1.007339
33.000000, 1.007034
34.000000, 1.006611
35.000000, 1.006142
36.000000, 1.005628
37.000000, 1.005304
38.000000, 1.005227
39.000000, 1.005202
40.000000, 1.005305
41.000000, 1.005579
42.000000, 1.005792
43.000000, 1.005921
44.000000, 1.006372
45.000000, 1.007099
46.000000, 1.008124
47.000000, 1.009104
48.000000, 1.009986
49.000000, 1.010607
50.000000, 1.011172
51.000000, 1.011614
52.000000, 1.012018
53.000000, 1.012368
54.000000, 1.012570
55.000000, 1.012653
56.000000, 1.012621
57.000000, 1.012613
58.000000, 1.012451
59.000000, 1.012206
60.000000, 1.011798
61.000000, 1.011164
62.000000, 1.010391
63.000000, 1.009556
64.000000, 1.008854
65.000000, 1.008083
66.000000, 1.007414
67.000000, 1.006854
68.000000, 1.006387
69.000000, 1.005811
70.000000, 1.005343
71.000000, 1.005078
72.000000, 1.004808
73.000000, 1.004535
74.000000, 1.004197
75.000000, 1.003747
76.000000, 1.003281
77.000000, 1.002982
78.000000, 1.002703
79.000000, 1.002622
80.000000, 1.002690
81.000000, 1.002609
82.000000, 1.002671
83.000000, 1.002677
84.000000, 1.002815
85.000000, 1.002876
86.000000, 1.002677
87.000000, 1.002343
88.000000, 1.002025
89.000000, 1.001687
90.000000, 1.001347
91.000000, 1.001134
92.000000, 1.000898
93.000000, 1.000678
94.000000, 1.000607
95.000000, 1.000485
96.000000, 1.000377
97.000000, 1.000484
98.000000, 1.000577
99.000000, 1.000877
100.000000, 1.001127
101.000000, 1.001265
102.000000, 1.001337
103.000000, 1.001340
104.000000, 1.001169
105.000000, 1.000868
106.000000, 1.000433
107.000000, 0.999899
108.000000, 0.999374
109.000000, 0.998642
110.000000, 0.997752
111.000000, 0.996978
112.000000, 0.996155
113.000000, 0.995499
114.000000, 0.995138
115.000000, 0.994974
116.000000, 0.994837
117.000000, 0.994739
118.000000, 0.994672
119.000000, 0.994677
120.000000, 0.994783
121.000000, 0.994852
122.000000, 0.994935
123.000000, 0.994861
124.000000, 0.994831
125.000000, 0.994974
126.000000, 0.995154
127.000000, 0.995174
128.000000, 0.994977
129.000000, 0.994856
130.000000, 0.994748
131.000000, 0.994602
132.000000, 0.994535
133.000000, 0.994532
134.000000, 0.994587
