s, A
0.000000, 1.008095
1.000000, 1.017244
2.000000, 1.044759
3.000000, 1.046355
4.000000, 1.057395
5.000000, 1.064850
6.000000, 1.048486
7.000000, 1.038630
8.000000, 1.048632
9.000000, 1.048497
10.000000, 1.043848
11.000000, 1.038054
12.000000, 1.058535
13.000000, 1.058038
14.000000, 1.007508
15.000000, 1.014846
16.000000, 1.023006
17.000000, 0.976158
18.000000, 0.966505
19.000000, 0.958803
20.000000, 0.958614
21.000000, 0.959245
22.000000, 0.960310
23.000000, 0.960654
24.000000, 0.960769
25.000000, 0.960318
26.000000, 0.959384
27.000000, 0.958197
28.000000, 0.950378
29.000000, 0.949729
30.000000, 0.948601
31.000000, 0.941018
32.000000, 0.940391
33.000000, 0.939302
34.000000, 0.931397
35.000000, 0.923526
36.000000, 0.923320
37.000000, 0.922665
38.000000, 0.921474
39.000000, 0.920344
40.000000, 0.912321
41.000000, 0.911692
42.000000, 0.910668
43.000000, 0.903458
44.000000, 0.902842
45.000000, 0.901663
46.000000, 0.893700
47.000000, 0.893183
48.000000, 0.892469
49.000000, 0.891509
50.000000, 0.883736
51.000000, 0.883408
52.000000, 0.882895
53.000000, 0.882276
54.000000, 0.881618
55.000000, 0.880583
56.000000, 0.879708
57.000000, 0.878854
58.000000, 0.878028
59.000000, 0.877247
60.000000, 0.876272
