s, A
0.000000, 0.332601
1.000000, 0.332641
2.000000, 0.361900
3.000000, 0.365319
4.000000, 0.351277
5.000000, 0.366793
6.000000, 0.359501
7.000000, 0.341913
8.000000, 0.349845
9.000000, 0.331763
10.000000, 0.356534
11.000000, 0.355985
12.000000, 0.353636
13.000000, 0.359091
14.000000, 0.346545
15.000000, 0.352611
16.000000, 0.351760
17.000000, 0.341609
18.000000, 0.357986
19.000000, 0.355071
20.000000, 0.354620
21.000000, 0.345951
22.000000, 0.338522
23.000000, 0.339819
24.000000, 0.354348
25.000000, 0.356144
26.000000, 0.357008
27.000000, 0.353994
28.000000, 0.342387
29.000000, 0.375028
30.000000, 0.350150
31.000000, 0.349378
32.000000, 0.329345
33.000000, 0.337214
34.000000, 0.349475
35.000000, 0.352173
36.000000, 0.352486
37.000000, 0.350000
38.000000, 0.335105
39.000000, 0.353135
40.000000, 0.360284
41.000000, 0.355136
42.000000, 0.356832
43.000000, 0.346771
44.000000, 0.346611
45.000000, 0.354072
46.000000, 0.353803
47.000000, 0.354034
48.000000, 0.361811
49.000000, 0.353332
50.000000, 0.345533
51.000000, 0.367850
52.000000, 0.351607
53.000000, 0.348273
54.000000, 0.343051
55.000000, 0.357509
56.000000, 0.357754
57.000000, 0.345507
58.000000, 0.347879
59.000000, 0.350784
60.000000, 0.358728
