s, A
0.000000, 0.947553
1.000000, 0.947548
2.000000, 0.956047
3.000000, 0.965670
4.000000, 0.964329
5.000000, 0.952674
6.000000, 0.946834
7.000000, 0.953436
8.000000, 0.963812
9.000000, 0.955510
10.000000, 0.957222
11.000000, 0.959029
12.000000, 0.951665
13.000000, 0.963548
14.000000, 0.973651
15.000000, 0.966339
16.000000, 0.959256
17.000000, 0.953258
18.000000, 0.928103
19.000000, 0.943431
20.000000, 0.943518
21.000000, 0.942503
22.000000, 0.934935
23.000000, 0.934326
24.000000, 0.934614
25.000000, 0.926964
26.000000, 0.926557
27.000000, 0.918946
28.000000, 0.918577
29.000000, 0.910686
30.000000, 0.903147
31.000000, 0.895216
32.000000, 0.887427
33.000000, 0.887230
34.000000, 0.879674
35.000000, 0.879230
36.000000, 0.871466
37.000000, 0.870730
38.000000, 0.863309
39.000000, 0.862401
40.000000, 0.854026
41.000000, 0.853092
42.000000, 0.852070
43.000000, 0.844111
44.000000, 0.836108
45.000000, 0.835149
46.000000, 0.834444
47.000000, 0.833230
48.000000, 0.825013
49.000000, 0.816951
50.000000, 0.816134
51.000000, 0.815258
52.000000, 0.807384
53.000000, 0.799508
54.000000, 0.799004
55.000000, 0.798180
56.000000, 0.790152
57.000000, 0.789710
58.000000, 0.789065
59.000000, 0.788354
60.000000, 0.787719
61.000000, 0.786813
62.000000, 0.786278
63.000000, 0.785792
64.000000, 0.785117
65.000000, 0.784092
66.000000, 0.776478
67.000000, 0.776032
68.000000, 0.775310
69.000000, 0.774607
70.000000, 0.774336
71.000000, 0.773989
72.000000, 0.773836
73.000000, 0.773638
74.000000, 0.773134
75.000000, 0.772654
76.000000, 0.772179
77.000000, 0.771377
78.000000, 0.770684
79.000000, 0.770624
80.000000, 0.770621
81.000000, 0.771032
82.000000, 0.771602
83.000000, 0.772225
84.000000, 0.772321
85.000000, 0.772769
86.000000, 0.772620
87.000000, 0.772045
88.000000, 0.771365
89.000000, 0.771016
90.000000, 0.770981
91.000000, 0.771411
92.000000, 0.771559
93.000000, 0.771456
94.000000, 0.771289
95.000000, 0.770954
96.000000, 0.770941
97.000000, 0.770910
98.000000, 0.771265
99.000000, 0.771271
100.000000, 0.770906
101.000000, 0.770533
102.000000, 0.770246
103.000000, 0.770716
104.000000, 0.771372
105.000000, 0.771899
106.000000, 0.772182
107.000000, 0.772295
108.000000, 0.772088
109.000000, 0.772232
110.000000, 0.772322
111.000000, 0.772465
112.000000, 0.772711
113.000000, 0.773001
114.000000, 0.773348
115.000000, 0.773635
116.000000, 0.773807
117.000000, 0.774013
118.000000, 0.774230
119.000000, 0.774031
120.000000, 0.773726
121.000000, 0.773306
122.000000, 0.772744
123.000000, 0.772233
124.000000, 0.771518
125.000000, 0.770653
126.000000, 0.770229
127.000000, 0.769902
128.000000, 0.769665
129.000000, 0.769135
130.000000, 0.768574
131.000000, 0.768020
132.000000, 0.767743
133.000000, 0.767181
134.000000, 0.766807
135.000000, 0.766277
136.000000, 0.765936
137.000000, 0.765494
138.000000, 0.764884
139.000000, 0.764261
140.000000, 0.763400
141.000000, 0.762219
142.000000, 0.761284
143.000000, 0.760656
144.000000, 0.759869
145.000000, 0.758881
146.000000, 0.758149
147.000000, 0.757489
148.000000, 0.749572
149.000000, 0.749454
150.000000, 0.749307
151.000000, 0.749203
152.000000, 0.749467
153.000000, 0.749852
154.000000, 0.749976
155.000000, 0.749781
156.000000, 0.749509
157.000000, 0.749683
158.000000, 0.749752
159.000000, 0.749681
160.000000, 0.749409
161.000000, 0.749133
162.000000, 0.749088
163.000000, 0.748958
164.000000, 0.748788
165.000000, 0.748292
166.000000, 0.748024
167.000000, 0.747927
168.000000, 0.748137
169.000000, 0.748724
170.000000, 0.749050
171.000000, 0.749123
172.000000, 0.748962
173.000000, 0.748795
174.000000, 0.748760
175.000000, 0.748980
176.000000, 0.749310
177.000000, 0.749464
178.000000, 0.749850
179.000000, 0.750579
180.000000, 0.751055
181.000000, 0.751522
182.000000, 0.752052
183.000000, 0.752759
184.000000, 0.753582
185.000000, 0.754542
186.000000, 0.755263
187.000000, 0.755851
188.000000, 0.756439
189.000000, 0.757194
190.000000, 0.758021
191.000000, 0.758335
192.000000, 0.758462
193.000000, 0.758760
194.000000, 0.759244
195.000000, 0.759692
196.000000, 0.760091
197.000000, 0.760204
198.000000, 0.760330
199.000000, 0.760577
200.000000, 0.760750
201.000000, 0.761009
202.000000, 0.761470
203.000000, 0.761785
204.000000, 0.762167
205.000000, 0.762566
206.000000, 0.762741
207.000000, 0.762886
208.000000, 0.763106
209.000000, 0.763005
210.000000, 0.762896
211.000000, 0.762980
212.000000, 0.763127
213.000000, 0.762986
214.000000, 0.762914
215.000000, 0.762991
216.000000, 0.763179
217.000000, 0.763436
218.000000, 0.763898
219.000000, 0.764270
220.000000, 0.764576
221.000000, 0.764633
222.000000, 0.764388
223.000000, 0.764144
224.000000, 0.764067
225.000000, 0.764103
226.000000, 0.764100
227.000000, 0.763936
228.000000, 0.763535
229.000000, 0.763437
230.000000, 0.763622
231.000000, 0.763690
232.000000, 0.763416
233.000000, 0.762844
234.000000, 0.762072
235.000000, 0.761514
236.000000, 0.760988
237.000000, 0.760412
238.000000, 0.759825
239.000000, 0.759405
240.000000, 0.759113
241.000000, 0.758865
242.000000, 0.758598
243.000000, 0.758477
244.000000, 0.758483
245.000000, 0.758387
246.000000, 0.758127
247.000000, 0.758023
248.000000, 0.757996
249.000000, 0.758012
250.000000, 0.758039
251.000000, 0.758084
252.000000, 0.758048
253.000000, 0.757994
254.000000, 0.758117
255.000000, 0.758313
256.000000, 0.758391
257.000000, 0.758508
258.000000, 0.758732
259.000000, 0.758901
260.000000, 0.758998
261.000000, 0.758968
262.000000, 0.758767
263.000000, 0.758428
264.000000, 0.757901
265.000000, 0.757258
266.000000, 0.756740
267.000000, 0.756341
268.000000, 0.755941
269.000000, 0.755504
270.000000, 0.754905
271.000000, 0.754354
272.000000, 0.753992
273.000000, 0.754039
274.000000, 0.754210
275.000000, 0.754246
276.000000, 0.754235
277.000000, 0.754328
278.000000, 0.754382
279.000000, 0.754156
280.000000, 0.753801
281.000000, 0.753678
