s, A
0.000000, 0.418970
1.000000, 0.418904
2.000000, 0.394097
3.000000, 0.394972
4.000000, 0.404220
5.000000, 0.396820
6.000000, 0.393591
7.000000, 0.390746
8.000000, 0.379998
9.000000, 0.396565
10.000000, 0.396578
11.000000, 0.403648
12.000000, 0.396637
13.000000, 0.396574
14.000000, 0.398147
15.000000, 0.398267
16.000000, 0.414215
17.000000, 0.397596
18.000000, 0.415763
19.000000, 0.398135
20.000000, 0.405095
21.000000, 0.393541
22.000000, 0.393817
23.000000, 0.402422
24.000000, 0.410541
25.000000, 0.414645
26.000000, 0.416509
27.000000, 0.397449
28.000000, 0.400041
29.000000, 0.400309
30.000000, 0.413253
31.000000, 0.410400
32.000000, 0.402817
33.000000, 0.419586
34.000000, 0.402366
35.000000, 0.398005
36.000000, 0.412404
37.000000, 0.403977
38.000000, 0.412283
39.000000, 0.403649
40.000000, 0.393344
41.000000, 0.391529
42.000000, 0.415356
43.000000, 0.398651
44.000000, 0.413037
45.000000, 0.403870
46.000000, 0.402844
47.000000, 0.393607
48.000000, 0.394196
49.000000, 0.397513
50.000000, 0.405212
51.000000, 0.405580
52.000000, 0.389163
53.000000, 0.399280
54.000000, 0.399769
55.000000, 0.397516
56.000000, 0.410510
57.000000, 0.412425
58.000000, 0.400832
59.000000, 0.401991
60.000000, 0.402241
