s, A
0.000000, 0.204331
1.000000, 0.204312
2.000000, 0.204104
3.000000, 0.204121
4.000000, 0.212451
5.000000, 0.204128
6.000000, 0.204322
7.000000, 0.204161
8.000000, 0.204555
9.000000, 0.204702
10.000000, 0.204746
11.000000, 0.204617
12.000000, 0.196850
13.000000, 0.204255
14.000000, 0.204802
15.000000, 0.204480
16.000000, 0.204645
17.000000, 0.204201
18.000000, 0.204286
19.000000, 0.203859
20.000000, 0.203579
21.000000, 0.203258
22.000000, 0.203286
23.000000, 0.203308
24.000000, 0.212797
25.000000, 0.204112
26.000000, 0.204689
27.000000, 0.204922
28.000000, 0.205056
29.000000, 0.204168
30.000000, 0.204117
31.000000, 0.204949
32.000000, 0.204832
33.000000, 0.204484
34.000000, 0.204675
35.000000, 0.204390
36.000000, 0.204122
37.000000, 0.203865
38.000000, 0.204135
39.000000, 0.203914
40.000000, 0.204421
41.000000, 0.203822
42.000000, 0.203690
43.000000, 0.203144
44.000000, 0.211529
45.000000, 0.203613
46.000000, 0.203693
47.000000, 0.203655
48.000000, 0.203810
49.000000, 0.204230
50.000000, 0.204098
51.000000, 0.204765
52.000000, 0.205583
53.000000, 0.205899
54.000000, 0.205422
55.000000, 0.204647
56.000000, 0.204403
57.000000, 0.204367
58.000000, 0.204515
59.000000, 0.204390
60.000000, 0.204387
