s, A
0.000000, 1.033162
1.000000, 1.033127
2.000000, 1.008062
3.000000, 1.018469
4.000000, 1.004753
5.000000, 1.000593
6.000000, 1.010470
7.000000, 1.002328
8.000000, 1.003079
9.000000, 1.001818
10.000000, 1.054641
11.000000, 1.031601
12.000000, 1.011359
13.000000, 0.980487
14.000000, 0.986097
15.000000, 0.933285
16.000000, 0.966361
17.000000, 0.974338
18.000000, 0.975363
19.000000, 0.976116
20.000000, 0.976657
21.000000, 0.984644
22.000000, 0.985113
23.000000, 0.985089
24.000000, 0.977362
25.000000, 0.976654
26.000000, 0.968906
27.000000, 0.968020
28.000000, 0.967686
29.000000, 0.968379
30.000000, 0.969318
31.000000, 0.969116
32.000000, 0.961663
33.000000, 0.961700
34.000000, 0.961249
35.000000, 0.953501
36.000000, 0.953104
37.000000, 0.960911
38.000000, 0.961516
39.000000, 0.962165
40.000000, 0.962599
41.000000, 0.962329
42.000000, 0.954356
43.000000, 0.953831
44.000000, 0.953039
45.000000, 0.945531
46.000000, 0.945578
47.000000, 0.945327
48.000000, 0.944546
49.000000, 0.944222
50.000000, 0.944529
51.000000, 0.944217
52.000000, 0.943060
53.000000, 0.936153
54.000000, 0.944088
55.000000, 0.944106
56.000000, 0.944070
57.000000, 0.943782
58.000000, 0.943166
59.000000, 0.941900
60.000000, 0.940828
61.000000, 0.939674
62.000000, 0.932120
63.000000, 0.931399
64.000000, 0.930307
65.000000, 0.937879
66.000000, 0.938671
67.000000, 0.938924
68.000000, 0.930983
69.000000, 0.923653
70.000000, 0.923837
71.000000, 0.931540
72.000000, 0.932547
73.000000, 0.933494
74.000000, 0.934330
75.000000, 0.935325
76.000000, 0.936574
77.000000, 0.943789
78.000000, 0.944033
79.000000, 0.943803
80.000000, 0.935813
81.000000, 0.935244
82.000000, 0.927315
83.000000, 0.926557
84.000000, 0.925725
85.000000, 0.925483
86.000000, 0.925360
87.000000, 0.924999
88.000000, 0.924477
89.000000, 0.923917
90.000000, 0.923339
91.000000, 0.922942
92.000000, 0.923102
93.000000, 0.923592
94.000000, 0.924037
95.000000, 0.924248
96.000000, 0.924421
97.000000, 0.924869
98.000000, 0.925583
99.000000, 0.926353
100.000000, 0.926872
101.000000, 0.927295
102.000000, 0.927770
103.000000, 0.928196
104.000000, 0.928390
105.000000, 0.928295
106.000000, 0.928022
107.000000, 0.927667
108.000000, 0.927409
109.000000, 0.927361
110.000000, 0.927662
111.000000, 0.928482
112.000000, 0.929630
113.000000, 0.930873
114.000000, 0.931990
115.000000, 0.932692
116.000000, 0.932863
117.000000, 0.932578
118.000000, 0.932172
119.000000, 0.931745
120.000000, 0.931205
121.000000, 0.930475
122.000000, 0.929624
123.000000, 0.928721
124.000000, 0.928021
125.000000, 0.927563
126.000000, 0.927308
127.000000, 0.927116
128.000000, 0.926930
129.000000, 0.926703
130.000000, 0.926469
131.000000, 0.926248
132.000000, 0.925979
133.000000, 0.925609
134.000000, 0.925340
135.000000, 0.925325
136.000000, 0.925523
137.000000, 0.925977
138.000000, 0.926617
139.000000, 0.927214
140.000000, 0.927707
141.000000, 0.928000
142.000000, 0.928074
143.000000, 0.927950
144.000000, 0.927704
145.000000, 0.927402
146.000000, 0.927046
147.000000, 0.926646
148.000000, 0.926339
149.000000, 0.926172
150.000000, 0.926191
151.000000, 0.926412
152.000000, 0.926764
153.000000, 0.927181
154.000000, 0.927682
155.000000, 0.928377
156.000000, 0.929241
157.000000, 0.930217
158.000000, 0.931362
159.000000, 0.932400
160.000000, 0.933278
161.000000, 0.933865
162.000000, 0.934077
163.000000, 0.933929
164.000000, 0.933501
165.000000, 0.933003
166.000000, 0.932546
167.000000, 0.932281
168.000000, 0.932224
169.000000, 0.932235
170.000000, 0.932283
171.000000, 0.932386
172.000000, 0.932503
173.000000, 0.932506
174.000000, 0.932370
175.000000, 0.932151
176.000000, 0.931770
177.000000, 0.931329
178.000000, 0.930764
179.000000, 0.929947
180.000000, 0.928863
181.000000, 0.927752
182.000000, 0.926370
183.000000, 0.919135
184.000000, 0.918658
185.000000, 0.917946
186.000000, 0.917031
187.000000, 0.915958
188.000000, 0.914860
189.000000, 0.913868
190.000000, 0.913124
191.000000, 0.912778
192.000000, 0.912756
193.000000, 0.912895
194.000000, 0.913214
195.000000, 0.913649
196.000000, 0.914388
197.000000, 0.915262
198.000000, 0.916172
199.000000, 0.916958
200.000000, 0.917581
201.000000, 0.917926
202.000000, 0.917994
203.000000, 0.917850
204.000000, 0.917549
205.000000, 0.917124
206.000000, 0.916691
207.000000, 0.916328
208.000000, 0.916052
209.000000, 0.915863
210.000000, 0.915736
211.000000, 0.915660
212.000000, 0.915644
213.000000, 0.915633
214.000000, 0.915590
215.000000, 0.915445
216.000000, 0.915127
217.000000, 0.914613
218.000000, 0.913849
219.000000, 0.912824
220.000000, 0.911489
221.000000, 0.904201
222.000000, 0.903570
223.000000, 0.902544
224.000000, 0.901258
225.000000, 0.893841
226.000000, 0.893396
227.000000, 0.892733
228.000000, 0.891965
229.000000, 0.891087
230.000000, 0.890046
231.000000, 0.888793
232.000000, 0.881348
233.000000, 0.880761
234.000000, 0.879903
235.000000, 0.878790
236.000000, 0.877489
237.000000, 0.869965
238.000000, 0.869406
239.000000, 0.868427
240.000000, 0.860442
241.000000, 0.860024
242.000000, 0.859219
243.000000, 0.858067
244.000000, 0.850069
245.000000, 0.849652
246.000000, 0.848739
247.000000, 0.840454
248.000000, 0.840177
249.000000, 0.839606
250.000000, 0.838882
251.000000, 0.838038
252.000000, 0.837150
253.000000, 0.836248
254.000000, 0.835395
255.000000, 0.834615
256.000000, 0.833926
257.000000, 0.833259
258.000000, 0.832555
259.000000, 0.831817
260.000000, 0.831102
261.000000, 0.830434
262.000000, 0.829632
263.000000, 0.828774
264.000000, 0.827717
265.000000, 0.826689
266.000000, 0.825813
267.000000, 0.825134
268.000000, 0.824702
269.000000, 0.824589
270.000000, 0.824762
271.000000, 0.825204
272.000000, 0.825743
273.000000, 0.826232
274.000000, 0.826609
275.000000, 0.826864
276.000000, 0.826973
277.000000, 0.827038
278.000000, 0.827124
279.000000, 0.827180
280.000000, 0.827191
281.000000, 0.827119
282.000000, 0.826999
283.000000, 0.826905
284.000000, 0.826890
285.000000, 0.826983
286.000000, 0.827176
287.000000, 0.827422
288.000000, 0.827686
289.000000, 0.827908
290.000000, 0.828073
291.000000, 0.828192
292.000000, 0.828309
293.000000, 0.828389
294.000000, 0.828367
295.000000, 0.828107
296.000000, 0.827659
297.000000, 0.827113
298.000000, 0.826561
299.000000, 0.826095
300.000000, 0.825742
301.000000, 0.825300
302.000000, 0.824642
303.000000, 0.823770
