s, A
0.000000, 0.554881
1.000000, 0.554882
2.000000, 0.562620
3.000000, 0.562156
4.000000, 0.561928
5.000000, 0.560604
6.000000, 0.560523
7.000000, 0.560345
8.000000, 0.569658
9.000000, 0.561964
10.000000, 0.569532
11.000000, 0.561350
12.000000, 0.560991
13.000000, 0.560361
14.000000, 0.577097
15.000000, 0.561423
16.000000, 0.560855
17.000000, 0.565520
18.000000, 0.555692
19.000000, 0.564755
20.000000, 0.564616
21.000000, 0.564322
22.000000, 0.571282
23.000000, 0.563658
24.000000, 0.556330
25.000000, 0.556867
26.000000, 0.563448
27.000000, 0.562063
28.000000, 0.562309
29.000000, 0.561837
30.000000, 0.561640
31.000000, 0.563730
32.000000, 0.563482
33.000000, 0.570646
34.000000, 0.564051
35.000000, 0.571659
36.000000, 0.566524
37.000000, 0.566102
38.000000, 0.558783
39.000000, 0.569003
40.000000, 0.561415
41.000000, 0.568139
42.000000, 0.559536
43.000000, 0.567957
44.000000, 0.561412
45.000000, 0.553192
46.000000, 0.567624
47.000000, 0.560179
48.000000, 0.567876
49.000000, 0.559209
50.000000, 0.558985
51.000000, 0.566144
52.000000, 0.558619
53.000000, 0.558722
54.000000, 0.558715
55.000000, 0.558391
56.000000, 0.558657
57.000000, 0.558845
58.000000, 0.567389
59.000000, 0.559129
60.000000, 0.557160
