SAMPLE_INFORMATION,ID,EXP_ABBR,EXP_FULL,SAMPLES_ORDER,SAMPLES_APPENDIX,TYPE
ID,CH230130,SC,Species Composition,"A.obliquus,C.reinhardtii,E.texensis,T.albertanoae,Algaemix","$\it{A. obl.}$,$\it{C. rei.}$,$\it{E. tex.}$,$\it{T. alb.}$,$\bf{MBC}$"
EXPERIMENT_NAME,CH230708,ST,Salinity Treatment,"Control,0.75,1.5,15,35","$\bf{0}$ $\bf{PSU}$,0.75 PSU,1.5 PSU,15 PSU,35 PSU",TIME
SAMPLE_NAME,CH230709,PT,pH Treatment,"3,6,Control,9,12","pH 3,pH 6,$\bf{pH}$ $\bf{7}$,pH 9,pH 12",TIME
TIME,CH230710,AT,Antibiotics Treatment,"Control,0.1,1,10,100","$\bf{0}$ $\bf{mL}$,0.1 mL,1 mL,10 mL,100 mL",TIME
BIO_REP,CH230724,LT,Light Treatment,"Control,25,50,70,100","$\bf{100}$ $\bf{\frac{µmol}{m^2 s}}$,375 $\frac{µmol}{m^2 s}$,750 $\frac{µmol}{m^2 s}$,1050 $\frac{µmol}{m^2 s}$,1500 $\frac{µmol}{m^2 s}$",TIME
TEC_REP,CH230726,TT,Temperature Treatment,"5,15,Control,35,45","5 °C,15 °C,$\bf{25}$ $\bf{°C}$,35 °C,45 °C",TIME
,CH230800,ST,Salinity Treatment,"Control,0.75,1.5,15,35","$\bf{0}$ $\bf{PSU}$,0.75 PSU,1.5 PSU,15 PSU,35 PSU",TIME
,CH230801,PT,pH Treatment,"3,6,Control,9,12","pH 3,pH 6,$\bf{pH}$ $\bf{7}$,pH 9,pH 12",TIME
,CH230802,AT,Antibiotics Treatment,"Control,0.1,1,10,100","$\bf{0}$ $\bf{mL}$,0.1 mL,1 mL,10 mL,100 mL",TIME
,CH230807,LT,Light Treatment,"Control,25,50,70,100","100 $\frac{µmol}{m^2 s}$ (c),375 $\frac{µmol}{m^2 s}$,750 $\frac{µmol}{m^2 s}$,1050 $\frac{µmol}{m^2 s}$,1500 $\frac{µmol}{m^2 s}$",TIME
,CH230809,TT,Temperature Treatment,"5,15,Control,35,45","5 °C,15 °C,$\bf{25}$ $\bf{°C}$,35 °C,45 °C",TIME
,CH230905,ST,Salinity Treatment,"Control,0.75,1.5,15,35","$\bf{0}$ $\bf{PSU}$,0.75 PSU,1.5 PSU,15 PSU,35 PSU",TIME
,CH230906,PT,pH Treatment,"3,6,Control,9,12","pH 3,pH 6,$\bf{pH}$ $\bf{7}$,pH 9,pH 12",TIME
,CH230907,AT,Antibiotics Treatment,"Control,0.1,1,10,100","$\bf{0}$ $\bf{mL}$,0.1 mL,1 mL,10 mL,100 mL",TIME
,CH230912,TT,Temperature Treatment,"5,15,Control,35,45","5 °C,15 °C,$\bf{25}$ $\bf{°C}$,35 °C,45 °C",TIME
,CH230914,LT,Light Treatment,"Control,25,50,70,100","100 $\frac{µmol}{m^2 s}$ (c),375 $\frac{µmol}{m^2 s}$,750 $\frac{µmol}{m^2 s}$,1050 $\frac{µmol}{m^2 s}$,1500 $\frac{µmol}{m^2 s}$",TIME
,CH230921,CC,Culture Composition,"FEMAK,OECD,RueBio","Sewage,Artificial Medium,Fish Sewage",
,CH231214,RM,Reflocculation,"Control,-EPS,AT,ET","$\bf{MBC}$,$\bf{dH_2O}$,Antibiotics,Enzymes",TIME
,CH231215,RM,Reflocculation,"Control,-EPS,AT,ET","$\bf{MBC}$,$\bf{dH_2O}$,Antibiotics,Enzymes",TIME
,CH231216,RM,Reflocculation,"Control,-EPS,AT,ET","$\bf{MBC}$,$\bf{dH_2O}$,Antibiotics,Enzymes",TIME
,CH240114,BM,Bioflocculation,"CoC,EPS,AMC,CoA","$\it{\bf{C. vulgaris}}$,$\it{C. vulgaris}$+EPS,MBC+$\it{C. vulgaris}$,$\bf{MBC}$",TIME
,CH240115,BM,Bioflocculation,"CoC,EPS,AMC,CoA","$\it{\bf{C. vulgaris}}$,$\it{C. vulgaris}$+EPS,MBC+$\it{C. vulgaris}$,$\bf{MBC}$",TIME
,CH240116,BM,Bioflocculation,"CoC,EPS,AMC,CoA","$\it{\bf{C. vulgaris}}$,$\it{C. vulgaris}$+EPS,MBC+$\it{C. vulgaris}$,$\bf{MBC}$",TIME
