ID,EXPERIMENT_NAME,SAMPLE_NAME,TIME,BIO_REP,TEC_REP,MEAN_OD,START_OD,END_OD,RRATE_%
CH230130,SC,A.obliquus,0,1,1,3.9452384,0.987832,0.960931,2.72
CH230130,SC,A.obliquus,0,2,1,3.9548652000000004,0.99044,0.98707,0.34
CH230130,SC,A.obliquus,0,3,1,3.8359068,0.960655,0.937915,2.37
CH230130,SC,Algaemix,0,1,1,4.2639956,1.147035,0.059086,94.85
CH230130,SC,Algaemix,0,2,1,4.2851384,1.127933,0.017356,98.46
CH230130,SC,Algaemix,0,3,1,4.233776799999999,1.30852,0.011434,99.13
CH230130,SC,C.reinhardtii,0,1,1,3.8691968,0.976002,0.891394,8.67
CH230130,SC,C.reinhardtii,0,2,1,3.9432324000000003,0.987491,0.963023,2.48
CH230130,SC,C.reinhardtii,0,3,1,3.831034,0.961286,0.935838,2.65
CH230130,SC,E.texensis,0,1,1,4.0000136,1.033686,0.609808,41.01
CH230130,SC,E.texensis,0,2,1,3.809216,0.957841,0.878751,8.26
CH230130,SC,E.texensis,0,3,1,4.103162,1.031652,0.965216,6.44
CH230130,SC,T.albertanoae,0,1,1,3.9509940000000006,0.994354,0.739995,25.58
CH230130,SC,T.albertanoae,0,2,1,4.0463444,1.054641,0.816611,22.57
CH230130,SC,T.albertanoae,0,3,1,3.852722,0.994386,0.695615,30.05
