ID,EXPERIMENT_NAME,SAMPLE_NAME,TIME,BIO_REP,TEC_REP,PARTICLE_COUNT_N,PARTICLE_LOSS_%,MEAN_SVELO_M/H,MEDIAN_SVELO_M/H
CH230130,SC,A.obliquus,0,1,1,0,0.0,0.0,0.0
CH230130,SC,A.obliquus,0,2,1,0,0.0,0.0,0.0
CH230130,SC,A.obliquus,0,3,1,0,0.0,0.0,0.0
CH230130,SC,Algaemix,0,1,1,2693,31.493258712795722,3.9874477672038355,3.076890265313711
CH230130,SC,Algaemix,0,2,1,2225,21.792618629173987,4.746476804407569,4.06872603380061
CH230130,SC,Algaemix,0,3,1,2586,22.713687985654516,3.7439540754062692,3.0619994696206065
CH230130,SC,C.reinhardtii,0,1,1,339,46.19047619047619,0.4483004064360753,0.33995549381529017
CH230130,SC,C.reinhardtii,0,2,1,104,37.34939759036144,0.676325977894391,0.35122500744099566
CH230130,SC,C.reinhardtii,0,3,1,149,28.019323671497588,0.44130362287147956,0.33438678462243365
CH230130,SC,E.texensis,0,1,1,2397,36.08,0.9134374854710218,0.5138344111853899
CH230130,SC,E.texensis,0,2,1,1344,25.33333333333333,1.065762688990432,0.6843006265595183
CH230130,SC,E.texensis,0,3,1,1722,32.99610894941635,1.116079828492017,0.7084271646255842
CH230130,SC,T.albertanoae,0,1,1,1947,57.79319314979406,0.7763637591482586,0.4451511927297772
CH230130,SC,T.albertanoae,0,2,1,747,70.6483300589391,0.6727288696455307,0.29775228925081926
CH230130,SC,T.albertanoae,0,3,1,695,69.15224145583666,0.6705479258942386,0.3109013929922313
