ID,EXPERIMENT_NAME,SAMPLE_NAME,TIME,BIO_REP,TEC_REP,TSS_BIOMASS_G,TSS_g/L,VSS_BIOMASS_G,VSS_g/L,TSS_%,VSS_%
CH230710,AT,0.1,0,1,1,0.02579999999999999,1.2899999999999996,0.0012304347826086904,0.061521739130434516,95.23087293562523,4.7691270643747705
CH230802,AT,0.1,0,2,1,0.0165,1.1,0.0009304347826086957,0.06202898550724638,94.36100131752306,5.638998682476943
CH230907,AT,0.1,0,3,1,0.019299999999999998,1.2866666666666664,0.0009304347826086957,0.06202898550724638,95.17909439062852,4.820905609371481
CH230710,AT,1,0,1,1,0.02579999999999999,1.2899999999999996,0.0012304347826086904,0.061521739130434516,95.23087293562523,4.7691270643747705
CH230802,AT,1,0,2,1,0.0165,1.1,0.0009304347826086957,0.06202898550724638,94.36100131752306,5.638998682476943
CH230907,AT,1,0,3,1,0.019299999999999998,1.2866666666666664,0.0009304347826086957,0.06202898550724638,95.17909439062852,4.820905609371481
CH230710,AT,10,0,1,1,0.02579999999999999,1.2899999999999996,0.0012304347826086904,0.061521739130434516,95.23087293562523,4.7691270643747705
CH230802,AT,10,0,2,1,0.0165,1.1,0.0009304347826086957,0.06202898550724638,94.36100131752306,5.638998682476943
CH230907,AT,10,0,3,1,0.019299999999999998,1.2866666666666664,0.0009304347826086957,0.06202898550724638,95.17909439062852,4.820905609371481
CH230710,AT,100,0,1,1,0.02579999999999999,1.2899999999999996,0.0012304347826086904,0.061521739130434516,95.23087293562523,4.7691270643747705
CH230802,AT,100,0,2,1,0.0165,1.1,0.0009304347826086957,0.06202898550724638,94.36100131752306,5.638998682476943
CH230907,AT,100,0,3,1,0.019299999999999998,1.2866666666666664,0.0009304347826086957,0.06202898550724638,95.17909439062852,4.820905609371481
CH230710,AT,Control,0,1,1,0.02579999999999999,1.2899999999999996,0.0012304347826086904,0.061521739130434516,95.23087293562523,4.7691270643747705
CH230802,AT,Control,0,2,1,0.0165,1.1,0.0009304347826086957,0.06202898550724638,94.36100131752306,5.638998682476943
CH230907,AT,Control,0,3,1,0.019299999999999998,1.2866666666666664,0.0009304347826086957,0.06202898550724638,95.17909439062852,4.820905609371481
CH230710,AT,0.1,12,1,1,0.017299999999999996,1.153333333333333,0.0010304347826086985,0.06869565217391324,94.04372958029654,5.956270419703461
CH230802,AT,0.1,12,2,1,0.019600000000000006,1.306666666666667,0.0012304347826087043,0.08202898550724695,93.72227151730253,6.277728482697468
CH230907,AT,0.1,12,3,1,0.020500000000000004,1.366666666666667,0.0011304347826087014,0.07536231884058009,94.48568398727463,5.514316012725371
CH230710,AT,1,12,1,1,0.016299999999999995,1.0866666666666664,0.0012304347826087043,0.08202898550724695,92.45132035209383,7.548679647906163
CH230802,AT,1,12,2,1,0.018200000000000008,1.2133333333333338,0.0009304347826086957,0.06202898550724638,94.88772097467749,5.1122790253225014
CH230907,AT,1,12,3,1,0.0203,1.3533333333333333,0.0013304347826086933,0.08869565217391288,93.44613407581924,6.553865924180756
CH230710,AT,10,12,1,1,0.013700000000000004,0.9133333333333336,0.0005304347826086981,0.03536231884057987,96.12821326562994,3.8717867343700583
CH230802,AT,10,12,2,1,0.0175,1.1666666666666667,0.0,0.0,100.0,0.0
CH230907,AT,10,12,3,1,0.022400000000000003,1.4933333333333334,0.0011304347826087014,0.07536231884058009,94.9534161490683,5.046583850931703
CH230710,AT,100,12,1,1,0.015799999999999995,1.053333333333333,0.0011304347826086875,0.07536231884057917,92.8453494771602,7.154650522839797
CH230802,AT,100,12,2,1,0.019500000000000003,1.3000000000000003,0.0008304347826087067,0.055362318840580446,95.74136008918612,4.258639910813879
CH230907,AT,100,12,3,1,0.019699999999999995,1.313333333333333,0.0009304347826086957,0.06202898550724638,95.27698079894063,4.723019201059371
CH230710,AT,Control,12,1,1,0.0169,1.1266666666666667,0.00043043478260869523,0.028695652173913018,97.45304862361719,2.546951376382812
CH230802,AT,Control,12,2,1,0.018000000000000002,1.2000000000000002,0.0009304347826086957,0.06202898550724638,94.83091787439614,5.169082125603864
CH230907,AT,Control,12,3,1,0.019500000000000003,1.3000000000000003,0.0008304347826087067,0.055362318840580446,95.74136008918612,4.258639910813879
CH230710,AT,0.1,24,1,1,0.019599999999999992,1.3066666666666662,0.0013304347826086933,0.08869565217391288,93.21206743566994,6.787932564330069
CH230802,AT,0.1,24,2,1,0.018699999999999994,1.2466666666666664,0.0009304347826086957,0.06202898550724638,95.02441292722622,4.9755870727737745
CH230907,AT,0.1,24,3,1,0.0194,1.2933333333333334,0.0010304347826086985,0.06869565217391324,94.68848050201701,5.311519497982982
CH230710,AT,1,24,1,1,0.018500000000000003,1.2333333333333334,0.0011304347826087014,0.07536231884058009,93.88954171562864,6.110458284371358
CH230802,AT,1,24,2,1,0.01809999999999999,1.206666666666666,0.00043043478260869523,0.028695652173913018,97.621907278405,2.3780927215950025
CH230907,AT,1,24,3,1,0.021000000000000005,1.4000000000000004,0.0010304347826086985,0.06869565217391324,95.09316770186334,4.906832298136659
CH230710,AT,10,24,1,1,0.015899999999999997,1.0599999999999998,0.0009304347826086957,0.06202898550724638,94.14820891441072,5.851791085589282
CH230802,AT,10,24,2,1,0.019299999999999998,1.2866666666666664,0.0005304347826086981,0.03536231884057987,97.25163325073214,2.7483667492678663
CH230907,AT,10,24,3,1,0.0213,1.42,0.0012304347826086904,0.08202898550724602,94.2233108797714,5.7766891202285935
CH230710,AT,100,24,1,1,0.01609999999999999,1.0733333333333326,0.0011304347826086875,0.07536231884057917,92.97866594652989,7.021334053470114
CH230802,AT,100,24,2,1,0.020100000000000007,1.3400000000000005,0.0004304347826087091,0.02869565217391394,97.85853341985717,2.1414665801428305
CH230907,AT,100,24,3,1,0.0199,1.3266666666666667,0.0010304347826086985,0.06869565217391324,94.82193576578544,5.178064234214566
CH230710,AT,Control,24,1,1,0.017799999999999996,1.1866666666666663,0.0012304347826087043,0.08202898550724695,93.08744504152413,6.912554958475869
CH230802,AT,Control,24,2,1,0.020100000000000007,1.3400000000000005,0.000630434782608701,0.04202898550724673,96.86350854423532,3.1364914557646797
CH230907,AT,Control,24,3,1,0.02260000000000001,1.5066666666666673,0.0009304347826087096,0.062028985507247295,95.8830319353597,4.1169680646403055
CH230710,AT,0.1,48,1,1,0.021600000000000008,1.4400000000000006,0.001530434782608699,0.10202898550724661,92.91465378421898,7.085346215781012
CH230802,AT,0.1,48,2,1,0.0184,1.2266666666666668,0.0005304347826086981,0.03536231884057987,97.11720226843099,2.882797731569011
CH230907,AT,0.1,48,3,1,0.021199999999999997,1.413333333333333,0.0026304347826087027,0.17536231884058018,87.5922887612797,12.407711238720298
CH230710,AT,1,48,1,1,0.020500000000000004,1.366666666666667,0.0012304347826087043,0.08202898550724695,93.99787910922583,6.002120890774166
CH230802,AT,1,48,2,1,0.016699999999999993,1.1133333333333328,0.00023043478260870338,0.015362318840580227,98.62015100234309,1.3798489976569073
